VARIABLE      ,TYPE  ,NGENES   ,      BETA  ,   BETA_STD     ,      SE      ,      P
C1_pos        , SET  ,107,-0.078799,-0.006101,0.094452,0.79793
C1_neg        , SET  ,108,-0.038094,-0.0029631,0.099835,0.64861
C2_pos        , SET  ,111,-0.13814,-0.010893,0.10137,0.91351
C2_neg        , SET  ,102,-0.01931,-0.0014599,0.094343,0.58109
C3_pos        , SET  ,106,-0.0045458,-0.00035032,0.10137,0.51788
C3_neg        , SET  ,104,0.062727,0.0047884,0.095158,0.25489
