ENSG00000260633	AC010207.1
ENSG00000144746	ARL6IP5
ENSG00000170837	GPR27
ENSG00000264920	AC018521.5
ENSG00000263603	AC127024.2
ENSG00000266490	AC127024.5
ENSG00000198937	CCDC167
ENSG00000131015	ULBP2
ENSG00000272462	U91328.1
ENSG00000261366	MANEA-AS1
ENSG00000123545	NDUFAF4
ENSG00000228506	AL513550.1
ENSG00000219755	AL137784.1
ENSG00000113318	MSH3
ENSG00000249572	AC034231.1
ENSG00000111775	COX6A1
ENSG00000161798	AQP5
ENSG00000225231	LINC02470
ENSG00000245648	AC022075.1
ENSG00000212127	TAS2R14
ENSG00000256274	TAS2R64P
ENSG00000179428	AC073072.1
ENSG00000230658	KLHL7-AS1
ENSG00000233760	AC004947.1
ENSG00000267368	UPK3BL1
ENSG00000237310	AC008267.5
ENSG00000233393	AP000688.2
ENSG00000116883	AL591845.1
ENSG00000233621	LINC01137
ENSG00000143162	CREG1
ENSG00000271811	Z97200.1
ENSG00000181754	AMIGO1
ENSG00000230325	AL359921.1
ENSG00000272865	AL591686.2
ENSG00000224525	AL591686.1
ENSG00000228140	AL031283.1
ENSG00000162461	SLC25A34
ENSG00000233296	AC092159.2
ENSG00000225234	TRAPPC12-AS1
ENSG00000162407	PLPP3
ENSG00000230133	LINC01721
ENSG00000238151	MLLT10P1
ENSG00000100418	DESI1
ENSG00000227370	AC254562.1
ENSG00000100304	TTLL12
ENSG00000234928	LINC01659
ENSG00000227755	AP000344.1
ENSG00000128218	VPREB3
ENSG00000218537	MIF-AS1
ENSG00000273295	AP000350.6
ENSG00000225282	AP000350.2
ENSG00000272787	AC253536.6
ENSG00000204778	CBWD4P
ENSG00000120162	MOB3B
ENSG00000241043	
ENSG00000188133	TMEM215
ENSG00000230839	AL121760.1
ENSG00000136783	NIPSNAP3A
ENSG00000259954	IL21R-AS1
ENSG00000260953	AC009093.4
ENSG00000261286	ATP2C2-AS1
ENSG00000270020	AC009108.3
ENSG00000213937	CLDN9
ENSG00000267077	AC020663.2
ENSG00000246898	LINC00920
ENSG00000152749	GPR180
ENSG00000260992	DOCK9-AS2
ENSG00000272143	FGF14-AS2
ENSG00000236354	LINC00437
ENSG00000253738	OTUD6B-AS1
ENSG00000156172	C8orf37
ENSG00000259820	AC083843.3
ENSG00000253210	AC040970.1
ENSG00000261693	AC134682.1
ENSG00000167653	PSCA
ENSG00000253741	AC108002.1
ENSG00000130193	THEM6
ENSG00000215117	LINC00588
ENSG00000251504	LINC01099
ENSG00000249506	ZEB2P1
ENSG00000249244	AC110373.1
ENSG00000231345	BEND3P1
ENSG00000183346	CABCOCO1
ENSG00000261438	AL157394.1
ENSG00000228701	TNKS2-AS1
ENSG00000267390	AC036176.1
ENSG00000273032	DGCR9
ENSG00000273164	DGCR10
ENSG00000267199	AP001029.2
ENSG00000267336	EIF4A2P1
ENSG00000264880	AP005901.2
ENSG00000265015	AP005901.3
ENSG00000270055	AC127502.2
ENSG00000269930	AC091057.2
ENSG00000270015	AC087481.3
ENSG00000254912	AC135983.3
ENSG00000259577	CERNA1
ENSG00000215256	DHRS4-AS1
ENSG00000126775	ATG14
ENSG00000271780	AL118558.3
ENSG00000272444	AL118558.4
ENSG00000259775	AL138976.2
ENSG00000269958	AL049840.4
ENSG00000119878	CRIPT
ENSG00000233266	HMGB1P31
ENSG00000228016	RAPGEF4-AS1
ENSG00000183891	TTC32
ENSG00000236595	MED15P5
ENSG00000224425	AC073869.2
ENSG00000273073	AC073869.3
ENSG00000227745	AC098826.2
ENSG00000150551	LYPD1
ENSG00000204792	LINC01291
ENSG00000236209	AC104135.1
ENSG00000261643	AL590235.1
ENSG00000229150	CRYGEP
ENSG00000168582	CRYGA
ENSG00000254941	AP000866.4
ENSG00000069482	GAL
ENSG00000250508	AP000808.1
ENSG00000254682	AP002387.2
ENSG00000254415	SIGLEC14
ENSG00000164366	CCDC127
ENSG00000251532	AC091849.2
ENSG00000266907	AC006116.1
ENSG00000269696	AC005498.3
ENSG00000186230	ZNF749
ENSG00000268266	AC003005.2
ENSG00000244165	P2RY11
ENSG00000266903	AC243964.2
ENSG00000261770	AC006504.1
ENSG00000175691	ZNF77
ENSG00000060558	GNA15
ENSG00000268055	AC067969.1
ENSG00000271964	AC090948.1
ENSG00000144909	OSBPL11
ENSG00000241278	ENPP7P4
ENSG00000242142	SERBP1P3
ENSG00000272463	AL357054.4
ENSG00000272279	AL512329.2
ENSG00000272277	AL031963.3
ENSG00000228793	AL138881.1
ENSG00000272512	AL645608.8
ENSG00000144647	POMGNT2
ENSG00000236297	AC048351.1
ENSG00000224769	MUC20P1
ENSG00000271662	AC233280.2
ENSG00000229178	AC233280.1
ENSG00000215837	SDHAP2
ENSG00000260793	AC003102.1
ENSG00000267731	AC005332.3
ENSG00000229980	TOB1-AS1
ENSG00000261924	AC127496.1
ENSG00000229043	AC091729.3
ENSG00000179277	MEIS3P1
ENSG00000108556	CHRNE
ENSG00000180626	ZNF594
ENSG00000231769	AL035701.1
ENSG00000146085	MUT
ENSG00000031691	CENPQ
ENSG00000234155	LINC02535
ENSG00000112378	PERP
ENSG00000219392	ZNF602P
ENSG00000216901	ZNF603P
ENSG00000223508	RPL23AP53
ENSG00000253982	AC100810.1
ENSG00000271743	AF287957.1
ENSG00000255389	Z97989.1
ENSG00000213433	RPLP1P6
ENSG00000248544	AC008676.1
ENSG00000251405	AC008676.2
ENSG00000230847	AC044797.1
ENSG00000272459	AC139795.3
ENSG00000249109	AC140125.2
ENSG00000218227	AC136632.1
ENSG00000272335	AC093297.2
ENSG00000247796	AC008966.1
ENSG00000271382	AC012464.3
ENSG00000171115	GIMAP8
ENSG00000261455	LINC01003
ENSG00000196584	XRCC2
ENSG00000248593	DSTNP2
ENSG00000271892	AC026790.1
ENSG00000255693	LINC02389
ENSG00000239335	LLPH-AS1
ENSG00000213413	PVRIG
ENSG00000258181	AC008083.2
ENSG00000185290	NUPR2
ENSG00000182993	C12orf60
ENSG00000226468	AC018641.1
ENSG00000271122	AC018647.2
ENSG00000272668	AL590560.2
ENSG00000273487	AC104836.1
ENSG00000230439	AL512488.1
ENSG00000237624	OXCT2P1
ENSG00000260948	AL390195.2
ENSG00000231437	LINC01750
ENSG00000272195	AL356512.1
ENSG00000260855	AL591848.4
ENSG00000232456	AL355994.2
ENSG00000185519	FAM131C
ENSG00000238142	BX284668.5
ENSG00000203288	TDRKH-AS1
ENSG00000272864	AC135803.1
ENSG00000057468	MSH4
ENSG00000228067	LINC01740
ENSG00000067533	RRP15
ENSG00000270171	AL359881.3
ENSG00000238290	AL034417.2
ENSG00000237188	AC242426.2
ENSG00000272824	AC245100.7
ENSG00000272491	AL109659.2
ENSG00000260088	AL445483.1
ENSG00000198892	SHISA4
ENSG00000230563	AL121757.1
ENSG00000234688	AL049749.1
ENSG00000228274	AL021707.2
ENSG00000235209	AL022318.1
ENSG00000260708	AL118516.1
ENSG00000217442	SYCE3
ENSG00000205559	CHKB-AS1
ENSG00000272942	AL022324.3
ENSG00000272977	AL008721.2
ENSG00000223345	HIST2H2BA
ENSG00000229107	ABHD17AP4
ENSG00000230513	THAP7-AS1
ENSG00000272779	AC245060.4
ENSG00000211643	IGLV5-52
ENSG00000228510	AL359091.2
ENSG00000268707	AL158151.4
ENSG00000204055	AL158151.1
ENSG00000213221	DNLZ
ENSG00000177984	LCN15
ENSG00000214402	LCNL1
ENSG00000260947	AL356489.2
ENSG00000230074	AL162231.2
ENSG00000242616	GNG10
ENSG00000259953	AL138756.1
ENSG00000225706	PTPRD-AS1
ENSG00000153714	LURAP1L
ENSG00000235448	LURAP1L-AS1
ENSG00000272871	AL159169.2
ENSG00000261402	AL591222.1
ENSG00000227603	AL583839.1
ENSG00000224848	AL589843.1
ENSG00000233820	AL589843.2
ENSG00000228376	GAS2L1P2
ENSG00000228038	VN1R51P
ENSG00000159712	ANKRD18CP
ENSG00000203279	AL590705.1
ENSG00000260306	AC092375.2
ENSG00000262700	AC133552.3
ENSG00000237753	AC079922.2
ENSG00000184602	SNN
ENSG00000255513	AC005363.1
ENSG00000261613	AC093525.6
ENSG00000269937	AC093525.7
ENSG00000263280	AC003965.1
ENSG00000205364	MT1M
ENSG00000250878	METTL21EP
ENSG00000272274	LINC00551
ENSG00000230156	LINC00443
ENSG00000224243	SOX1-OT
ENSG00000255320	AP000759.1
ENSG00000180921	FAM83H
ENSG00000254973	AC105219.4
ENSG00000254050	AC018861.2
ENSG00000254081	LINC01299
ENSG00000272010	AC100814.1
ENSG00000251580	LINC02482
ENSG00000251615	AC104825.1
ENSG00000205959	AC105345.1
ENSG00000233609	RPL10P19
ENSG00000253678	AC104964.2
ENSG00000254507	DEFB131E
ENSG00000255495	AC145124.1
ENSG00000255556	AC087203.2
ENSG00000251402	FAM90A25P
ENSG00000272138	LINC01607
ENSG00000254531	AP001816.1
ENSG00000225140	AL358216.1
ENSG00000205696	ADARB2-AS1
ENSG00000269949	AC069307.1
ENSG00000185149	NPY2R
ENSG00000256043	CTSO
ENSG00000273449	AC093788.1
ENSG00000251129	LINC02506
ENSG00000249685	AC079921.2
ENSG00000134962	KLB
ENSG00000249348	UGDH-AS1
ENSG00000249381	LINC00500
ENSG00000170430	MGMT
ENSG00000235010	AL512622.1
ENSG00000240707	LINC01168
ENSG00000226964	RHEBP2
ENSG00000119913	TECTB
ENSG00000233200	AL117336.1
ENSG00000264247	LINC00909
ENSG00000266489	AC007922.3
ENSG00000266441	AP005205.2
ENSG00000263627	PPP4R1-AS1
ENSG00000267079	AP001269.2
ENSG00000261478	AC013391.3
ENSG00000234477	AC004231.1
ENSG00000254744	AC084855.1
ENSG00000259205	PRKXP1
ENSG00000259362	AC046168.1
ENSG00000259417	CTXND1
ENSG00000245975	AC090515.2
ENSG00000259433	AC051619.3
ENSG00000235213	OR6E1P
ENSG00000258695	AC005225.3
ENSG00000177465	ACOT4
ENSG00000259065	AC005520.2
ENSG00000258586	LINC02274
ENSG00000165502	RPL36AL
ENSG00000258711	AL358334.2
ENSG00000272541	AL021368.3
ENSG00000272316	AL021368.2
ENSG00000154079	SDHAF4
ENSG00000271967	AL583856.2
ENSG00000258702	AL137786.1
ENSG00000258701	LINC00638
ENSG00000204334	ERICH2
ENSG00000181798	LINC00471
ENSG00000162928	PEX13
ENSG00000197557	TTC30A
ENSG00000229360	PPP1R2P5
ENSG00000224272	AC131097.3
ENSG00000237940	LINC01238
ENSG00000273080	AC009309.1
ENSG00000271952	LINC01954
ENSG00000169006	NTSR2
ENSG00000236682	AC068282.1
ENSG00000257800	FNBP1P1
ENSG00000157259	GATAD1
ENSG00000255219	AP000755.2
ENSG00000257086	AP001453.4
ENSG00000255455	AP003486.1
ENSG00000255190	TRIM51DP
