entrezID,acronym,isAstrocyteEnriched,isOligodendrocyteEnriched,isNeuronEnriched,isGoodGeneBrain,isPersistent
11924,Neurog2,0,0,0,1,1
11925,Neurog3,0,0,0,1,1
11928,Atp1a1,0,0,0,1,1
11932,Atp1b2,1,0,0,1,1
11980,Atp8a1,0,1,0,1,0
11982,Atp10a,0,0,1,1,0
11998,Avp,0,0,0,1,1
12000,Avpr2,0,0,0,1,1
12005,Axin1,0,0,0,1,1
12006,Axin2,1,0,0,1,1
12013,Bach1,0,0,0,1,1
12014,Bach2,0,1,0,1,1
12020,Nkx3-2,0,0,0,1,1
12023,Barx2,0,0,0,1,1
12032,Bcan,1,0,0,1,1
12034,Phb2,0,0,0,1,1
12035,Bcat1,0,1,0,1,1
12038,Bche,0,1,0,1,1
12053,Bcl6,1,0,0,1,1
12064,Bdnf,0,0,1,1,1
12121,Bicd1,0,1,0,1,1
12125,Bcl2l11,0,0,0,1,1
12153,Bmp1,0,1,0,1,1
12154,Bmp10,0,0,0,1,1
12155,Bmp15,0,0,0,1,1
12156,Bmp2,0,1,0,1,1
12159,Bmp4,0,1,0,1,1
12160,Bmp5,0,0,0,1,1
12161,Bmp6,0,0,0,1,1
12162,Bmp7,1,0,0,1,1
12163,Bmp8a,0,0,0,1,1
12165,Gdf2,0,0,0,1,1
12166,Bmpr1a,1,0,0,1,1
12167,Bmpr1b,1,0,0,1,1
12168,Bmpr2,0,0,0,1,1
12189,Brca1,0,1,0,1,0
12192,Zfp36l1,1,0,0,1,0
12223,Btc,0,0,0,1,1
12234,Btrc,0,0,0,1,1
12259,C1qa,0,1,0,1,1
12260,C1qb,0,1,0,1,1
12268,C4b,1,0,0,1,1
12286,Cacna1a,0,0,1,1,1
12291,Cacna1g,0,0,1,1,1
12293,Cacna2d1,0,0,1,1,1
12294,Cacna2d3,0,0,1,1,1
12305,Ddr1,0,1,0,1,1
12306,Anxa2,1,0,0,1,1
12307,Calb1,0,0,1,1,1
12308,Calb2,0,0,1,1,1
12310,Calca,0,0,1,1,1
12311,Calcr,0,0,0,1,0
12326,Camk4,0,0,1,1,1
12349,Car2,1,0,0,1,1
12350,Car3,1,0,0,1,1
12355,Nr1i3,0,0,0,1,1
12367,Casp3,0,0,0,1,1
12387,Ctnnb1,0,0,0,1,1
12388,Ctnnd1,1,0,0,1,1
12393,Runx2,0,0,0,1,1
12395,Runx1t1,0,0,1,1,1
12396,Cbfa2t2,0,0,0,1,1
12405,Cbln2,0,0,1,1,1
12424,Cck,0,0,1,1,1
12425,Cckar,0,0,0,1,1
12426,Cckbr,0,0,1,1,0
12450,Ccng1,0,0,0,1,1
12484,Cd24a,0,0,1,1,0
12505,Cd44,1,0,0,1,1
12509,Cd59a,0,1,0,1,1
12527,Cd9,0,1,0,1,1
12540,Cdc42,0,0,1,1,1
12550,Cdh1,0,0,0,1,0
12554,Cdh13,0,0,1,1,1
12557,Cdh17,0,0,0,1,1
12558,Cdh2,1,0,0,1,1
12560,Cdh3,0,0,0,1,1
12561,Cdh4,1,0,0,1,1
12562,Cdh5,0,0,0,1,1
12563,Cdh6,0,1,0,1,1
12564,Cdh8,0,0,1,1,1
12565,Cdh9,0,0,1,1,1
12568,Cdk5,0,1,0,1,0
12569,Cdk5r1,0,0,1,1,1
12590,Cdx1,0,0,0,1,1
12591,Cdx2,0,0,0,1,1
12592,Cdx4,0,0,0,1,1
12609,Cebpd,1,0,0,1,0
12611,Cebpg,0,0,0,1,1
12614,Celsr1,1,0,0,1,1
12616,Cenpb,0,0,0,1,1
12627,Cfc1,0,0,0,1,1
12633,Cflar,1,0,0,1,1
12647,Chat,0,0,0,1,1
12661,Chl1,0,0,1,1,1
12669,Chrm1,0,0,1,1,0
12671,Chrm3,0,0,0,1,1
12672,Chrm4,0,0,0,1,1
12677,Vsx2,0,0,0,1,1
12704,Cit,1,0,0,1,1
12705,Cited1,0,0,0,1,1
12728,Clcn5,0,1,0,1,1
12741,Cldn5,0,0,0,1,1
12753,Clock,0,0,0,1,1
12759,Clu,1,0,0,1,1
12767,Cxcr4,0,0,0,1,1
12799,Cnp,0,0,0,1,1
12801,Cnr1,0,0,1,1,1
